program_administrator,fuel_type_funding_source,portfolio,primary_end_use_sector,program_name,nys_clean_heat,new_efficiency_new_york,lmi_market_rate,active_inactive,year,reporting_period,expenditures,reductions,participants
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2026,2026 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2027,2027 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2027,2027 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2027,2027 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2027,2027 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2028,2028 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2028,2028 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2028,2028 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2028,2028 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2029,2029 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2029,2029 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2029,2029 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2029,2029 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2030,2030 Q1,0,0,0
